epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7797,1.52709,4.27026,1.30755,0.00939,0.23333,0.06039,0.02761,1.21196,3.89372,1.46432,1.428e-05,1.428e-05,1.428e-05
2,23.2413,1.55166,4.2981,1.34213,0.01579,0.27333,0.06431,0.02501,1.24422,3.90049,1.47328,3.53466e-05,3.53466e-05,3.53466e-05
3,24.6255,1.58922,4.33098,1.28475,0.01532,0.24,0.0586,0.0239,1.25987,3.91352,1.46982,5.5989e-05,5.5989e-05,5.5989e-05
4,25.8169,1.45009,4.06574,1.24244,0.38308,0.07333,0.10558,0.05826,1.07925,3.49299,1.16857,7.62074e-05,7.62074e-05,7.62074e-05
5,27.129,1.02812,3.01759,1.03942,0.05862,0.73333,0.1902,0.14227,0.96918,2.91549,1.04667,9.60016e-05,9.60016e-05,9.60016e-05
6,28.922,0.95564,2.43695,0.97439,0.20905,0.67388,0.25535,0.19883,0.9852,3.64737,1.01589,0.000115372,0.000115372,0.000115372
7,30.563,0.97692,2.3077,0.98972,0.18133,0.56781,0.24695,0.18159,0.93069,4.52473,0.98649,0.000134318,0.000134318,0.000134318
8,31.7367,0.98664,2.08049,0.97787,0.1751,0.62682,0.31298,0.23596,0.8738,4.07473,0.98102,0.00015284,0.00015284,0.00015284
9,33.0595,0.95385,1.94298,0.95693,0.28841,0.75109,0.46453,0.36073,0.82565,2.72028,0.95648,0.000170937,0.000170937,0.000170937
10,34.302,0.94449,1.81216,0.98336,0.57576,0.64445,0.55639,0.43994,0.81204,2.27561,0.95103,0.000188611,0.000188611,0.000188611
11,35.8583,0.90181,1.5961,0.97188,0.44768,0.83149,0.71696,0.58449,0.84438,1.85535,0.95907,0.00020586,0.00020586,0.00020586
12,37.4847,0.91352,1.36824,0.99661,0.52484,0.80709,0.72871,0.59623,0.84948,1.70574,0.95872,0.000222686,0.000222686,0.000222686
13,38.8141,0.9324,1.36284,0.99925,0.54931,0.91196,0.83944,0.68723,0.83227,1.16842,0.94766,0.000239087,0.000239087,0.000239087
14,40.0597,0.90597,1.23043,0.97282,0.61327,0.89832,0.9146,0.74151,0.85463,1.07726,0.9482,0.000255064,0.000255064,0.000255064
15,42.8997,0.9309,1.1402,0.99772,0.83169,0.91048,0.97965,0.77224,0.86168,0.85314,0.96291,0.000270617,0.000270617,0.000270617
16,44.123,0.93687,1.10756,0.95835,0.87141,0.92562,0.98131,0.78522,0.84996,0.79986,0.96474,0.000285746,0.000285746,0.000285746
17,45.4344,0.90349,0.99892,0.98569,0.92676,0.88258,0.97761,0.79661,0.81162,0.75453,0.93393,0.000300451,0.000300451,0.000300451
18,46.647,0.95913,1.12742,0.97896,0.85764,0.90461,0.95372,0.77118,0.83258,0.85595,0.9352,0.000314732,0.000314732,0.000314732
19,47.9365,0.94356,0.95041,0.97965,0.85766,0.87167,0.96969,0.78766,0.84696,0.82351,0.94677,0.000328589,0.000328589,0.000328589
20,49.4833,0.89719,0.89569,0.95219,0.95173,0.92711,0.9886,0.79357,0.86733,0.66762,0.9596,0.000342021,0.000342021,0.000342021
21,50.849,0.9142,0.82942,0.98657,0.90979,0.96135,0.991,0.79857,0.88113,0.66737,0.95172,0.000355029,0.000355029,0.000355029
22,52.1276,0.87934,0.83933,0.96739,0.93208,0.95701,0.995,0.79011,0.89346,0.59636,0.95034,0.000367614,0.000367614,0.000367614
23,53.3341,0.91353,0.84216,0.96038,0.8456,0.94911,0.98675,0.79426,0.86132,0.6063,0.93697,0.000379774,0.000379774,0.000379774
24,54.4969,0.88465,0.79611,0.98018,0.84393,0.91915,0.98175,0.78786,0.85534,0.70798,0.93445,0.00039151,0.00039151,0.00039151
25,55.6982,0.93272,0.87648,0.96133,0.8989,0.90095,0.99,0.80349,0.87938,0.65145,0.95828,0.000402822,0.000402822,0.000402822
26,56.9755,0.8475,0.78631,0.97445,0.9255,0.92998,0.995,0.79024,0.90614,0.59109,0.97886,0.000413709,0.000413709,0.000413709
27,58.1512,0.85447,0.73409,0.95263,0.96288,0.95088,0.995,0.78482,0.8816,0.55439,0.96567,0.000424173,0.000424173,0.000424173
28,59.3319,0.8779,0.77202,0.95147,0.95038,0.96962,0.995,0.79214,0.84481,0.52742,0.94934,0.000434213,0.000434213,0.000434213
29,60.5694,0.88707,0.67983,0.95111,0.95038,0.96962,0.995,0.79214,0.84481,0.52742,0.94934,0.000443828,0.000443828,0.000443828
30,62.2276,0.87152,0.66495,0.96027,0.95458,0.94797,0.995,0.80987,0.83887,0.55048,0.9367,0.000453019,0.000453019,0.000453019
31,63.6501,0.89289,0.77423,0.95217,0.94412,0.96595,0.995,0.80455,0.83096,0.52641,0.93914,0.000461787,0.000461787,0.000461787
32,65.0338,0.85809,0.71231,0.9646,0.92643,0.99876,0.995,0.80188,0.8748,0.52211,0.95684,0.00047013,0.00047013,0.00047013
