epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8301,3.43265,5.15094,2.35078,0.00274,0.07083,0.00196,0.00051,3.39014,4.40466,2.75883,1.176e-05,1.176e-05,1.176e-05
2,24.9663,3.41543,5.27054,2.31506,0.00523,0.05833,0.00446,0.00066,3.38677,4.38022,2.75555,2.90362e-05,2.90362e-05,2.90362e-05
3,26.3217,3.49373,5.26666,2.31005,0.00273,0.07083,0.0097,0.00188,3.35015,4.32969,2.69558,4.58758e-05,4.58758e-05,4.58758e-05
4,28.2102,2.9215,4.63173,1.96667,0.00635,0.11667,0.01248,0.00319,3.14949,4.11249,2.49746,6.22788e-05,6.22788e-05,6.22788e-05
5,29.6558,2.2498,3.6427,1.56681,0.0364,0.34444,0.05925,0.01606,2.3663,3.7029,1.94295,7.82452e-05,7.82452e-05,7.82452e-05
6,30.98,2.01159,2.97189,1.3581,0.07628,0.39163,0.14032,0.0495,2.12502,3.32337,1.71694,9.3775e-05,9.3775e-05,9.3775e-05
7,32.4017,1.94307,2.66154,1.32521,0.08616,0.53472,0.18178,0.07058,2.20507,3.2324,1.64161,0.000108868,0.000108868,0.000108868
8,33.6883,1.77068,2.40385,1.23526,0.13346,0.55278,0.22754,0.10642,2.12489,3.08443,1.58289,0.000123525,0.000123525,0.000123525
9,35.0358,1.68858,2.18764,1.20413,0.26458,0.47591,0.38252,0.19182,1.88233,2.96102,1.42228,0.000137745,0.000137745,0.000137745
10,36.3032,1.64285,1.98383,1.23131,0.50371,0.45962,0.43103,0.2199,1.74291,3.18008,1.33848,0.000151528,0.000151528,0.000151528
11,37.6451,1.61727,1.86337,1.21024,0.42321,0.61177,0.48827,0.28103,1.59351,3.05334,1.23793,0.000164875,0.000164875,0.000164875
12,39.1877,1.65411,1.8097,1.21941,0.46705,0.54995,0.50442,0.2961,1.6015,2.47525,1.2363,0.000177785,0.000177785,0.000177785
13,41.0722,1.60332,1.69678,1.20409,0.37477,0.65139,0.5814,0.32765,1.61778,1.88094,1.25075,0.000190259,0.000190259,0.000190259
14,42.5105,1.55293,1.55971,1.16781,0.42788,0.63435,0.59314,0.34148,1.58981,1.85067,1.25124,0.000202296,0.000202296,0.000202296
15,43.8335,1.58735,1.51532,1.19791,0.74475,0.62729,0.68336,0.38687,1.58501,1.5724,1.25878,0.000213897,0.000213897,0.000213897
16,45.1315,1.5563,1.41986,1.2233,0.71913,0.64581,0.74838,0.42688,1.59562,1.46039,1.24517,0.000225061,0.000225061,0.000225061
17,46.4581,1.55723,1.3778,1.16155,0.71367,0.70798,0.76333,0.42281,1.69238,1.3571,1.29138,0.000235788,0.000235788,0.000235788
18,47.7188,1.51343,1.33317,1.17124,0.60375,0.76512,0.78811,0.42608,1.71929,1.31363,1.30682,0.000246079,0.000246079,0.000246079
19,48.9767,1.53655,1.30748,1.20904,0.79905,0.73495,0.81104,0.46466,1.59883,1.14624,1.22466,0.000255933,0.000255933,0.000255933
20,50.2419,1.54801,1.25552,1.19307,0.85835,0.65667,0.80628,0.4697,1.59447,1.09823,1.21682,0.00026535,0.00026535,0.00026535
21,51.6523,1.58601,1.22668,1.18243,0.58277,0.78875,0.82095,0.46523,1.58191,1.15014,1.23524,0.000274331,0.000274331,0.000274331
22,53.3893,1.54441,1.22115,1.20614,0.73843,0.79528,0.82466,0.49208,1.54056,1.10197,1.22837,0.000282876,0.000282876,0.000282876
23,54.9682,1.51962,1.22303,1.1679,0.74998,0.77082,0.83389,0.48841,1.52244,1.07327,1.22152,0.000290984,0.000290984,0.000290984
24,56.1903,1.48227,1.17537,1.16027,0.80731,0.72184,0.88401,0.53654,1.47651,1.03772,1.1823,0.000298655,0.000298655,0.000298655
25,57.486,1.51373,1.13349,1.15967,0.62886,0.91624,0.89921,0.52448,1.48843,1.01069,1.20681,0.000305889,0.000305889,0.000305889
26,58.7042,1.48623,1.12939,1.17187,0.68267,0.86291,0.90351,0.53698,1.50353,0.98095,1.21234,0.000312687,0.000312687,0.000312687
27,59.9823,1.44346,1.00255,1.13853,0.75449,0.81057,0.8968,0.54428,1.52073,0.92314,1.20999,0.000319049,0.000319049,0.000319049
28,61.3255,1.45293,1.02664,1.15019,0.87706,0.78101,0.89762,0.5395,1.52665,0.91433,1.22345,0.000324974,0.000324974,0.000324974
29,62.5436,1.45981,1.02457,1.14125,0.87706,0.78101,0.89762,0.5395,1.52665,0.91433,1.22345,0.000330462,0.000330462,0.000330462
30,63.7662,1.45348,1.0491,1.18452,0.92005,0.7568,0.88654,0.53191,1.48478,0.92758,1.20179,0.000335514,0.000335514,0.000335514
31,65.3218,1.45693,0.97456,1.14989,0.88768,0.81172,0.91193,0.56278,1.48432,0.91338,1.20431,0.000340129,0.000340129,0.000340129
32,67.092,1.46731,0.99279,1.18635,0.80619,0.89839,0.92684,0.53884,1.54803,0.8766,1.27443,0.000344307,0.000344307,0.000344307
33,68.3401,1.45803,0.9717,1.14619,0.80619,0.89839,0.92684,0.53884,1.54803,0.8766,1.27443,0.000348049,0.000348049,0.000348049
34,69.5839,1.46338,0.90365,1.16731,0.82297,0.92865,0.96365,0.49422,1.70928,0.89813,1.41626,0.000347876,0.000347876,0.000347876
35,70.8224,1.43342,0.96477,1.14853,0.86303,0.92021,0.96944,0.54115,1.5627,0.83923,1.27027,0.000340599,0.000340599,0.000340599
36,72.0478,1.45457,0.96855,1.13139,0.89513,0.94444,0.98143,0.57954,1.51578,0.80278,1.22051,0.000333322,0.000333322,0.000333322
37,73.3254,1.46032,0.94032,1.16778,0.89513,0.94444,0.98143,0.57954,1.51578,0.80278,1.22051,0.000326046,0.000326046,0.000326046
38,74.6351,1.38691,0.884,1.13978,0.91549,0.88512,0.97865,0.55252,1.54884,0.80486,1.25096,0.000318769,0.000318769,0.000318769
39,75.8582,1.39975,0.90848,1.13875,0.87526,0.89466,0.97782,0.53832,1.60512,0.8295,1.30156,0.000311493,0.000311493,0.000311493
40,77.0978,1.43257,0.89757,1.17086,0.83196,0.90799,0.97782,0.56109,1.52881,0.84487,1.22951,0.000304216,0.000304216,0.000304216
41,78.7487,1.43204,0.90158,1.10687,0.83196,0.90799,0.97782,0.56109,1.52881,0.84487,1.22951,0.00029694,0.00029694,0.00029694
42,80.3252,1.39209,0.88157,1.14766,0.81461,0.91614,0.95024,0.56302,1.49307,0.84746,1.20957,0.000289664,0.000289664,0.000289664
43,81.5941,1.42538,0.87075,1.11985,0.87412,0.92576,0.97048,0.5802,1.4374,0.79055,1.18706,0.000282387,0.000282387,0.000282387
44,82.7914,1.38511,0.84759,1.14433,0.90689,0.85067,0.95871,0.56192,1.49,0.74663,1.20462,0.000275111,0.000275111,0.000275111
45,83.9681,1.37547,0.82094,1.1158,0.90689,0.85067,0.95871,0.56192,1.49,0.74663,1.20462,0.000267834,0.000267834,0.000267834
46,85.2252,1.36252,0.81291,1.11158,0.90236,0.88648,0.96258,0.55925,1.56152,0.75151,1.22862,0.000260557,0.000260557,0.000260557
47,86.4503,1.36917,0.80597,1.15668,0.91481,0.86604,0.95935,0.56108,1.55057,0.76663,1.21871,0.000253281,0.000253281,0.000253281
48,87.6818,1.40423,0.81942,1.14108,0.93575,0.89466,0.97599,0.58063,1.52119,0.77114,1.20697,0.000246004,0.000246004,0.000246004
49,88.921,1.29307,0.72644,1.12198,0.93575,0.89466,0.97599,0.58063,1.52119,0.77114,1.20697,0.000238728,0.000238728,0.000238728
50,90.3277,1.33012,0.81653,1.06433,0.94057,0.85896,0.95149,0.51908,1.68901,0.79034,1.3658,0.000231451,0.000231451,0.000231451
51,92.1008,1.37423,0.78521,1.13806,0.93614,0.82611,0.95085,0.51818,1.68891,0.79807,1.37902,0.000224175,0.000224175,0.000224175
52,93.4876,1.37167,0.80146,1.10789,0.89057,0.91395,0.97865,0.56821,1.50834,0.76615,1.24291,0.000216899,0.000216899,0.000216899
53,94.6843,1.29273,0.72611,1.10735,0.89057,0.91395,0.97865,0.56821,1.50834,0.76615,1.24291,0.000209622,0.000209622,0.000209622
54,95.9485,1.37315,0.7676,1.13711,0.92056,0.88995,0.98143,0.60821,1.44077,0.72591,1.17965,0.000202345,0.000202345,0.000202345
55,97.2787,1.3277,0.71704,1.12148,0.87376,0.94177,0.98143,0.60681,1.43586,0.71277,1.17814,0.000195069,0.000195069,0.000195069
56,98.5365,1.29733,0.76359,1.08653,0.85245,0.94811,0.97087,0.57656,1.48893,0.69639,1.22928,0.000187793,0.000187793,0.000187793
57,99.7396,1.33031,0.7662,1.1037,0.85245,0.94811,0.97087,0.57656,1.48893,0.69639,1.22928,0.000180516,0.000180516,0.000180516
58,100.968,1.35314,0.76935,1.12647,0.85796,0.96765,0.97087,0.55863,1.52363,0.70121,1.25867,0.000173239,0.000173239,0.000173239
59,102.22,1.34504,0.80731,1.08399,0.88482,0.91826,0.97087,0.56586,1.49795,0.70214,1.23688,0.000165963,0.000165963,0.000165963
60,103.919,1.30355,0.74117,1.10104,0.80819,0.96005,0.96897,0.5914,1.46353,0.69906,1.20592,0.000158686,0.000158686,0.000158686
61,105.57,1.2921,0.7261,1.13187,0.80819,0.96005,0.96897,0.5914,1.46353,0.69906,1.20592,0.00015141,0.00015141,0.00015141
62,106.813,1.38334,0.76406,1.08374,0.83337,0.97164,0.97087,0.58124,1.44585,0.68813,1.18932,0.000144134,0.000144134,0.000144134
63,108.058,1.25556,0.68216,1.08319,0.93582,0.87884,0.97504,0.59305,1.43133,0.68622,1.18472,0.000136857,0.000136857,0.000136857
64,109.342,1.29523,0.71542,1.10321,0.89589,0.94545,0.97504,0.5988,1.44488,0.68106,1.20459,0.00012958,0.00012958,0.00012958
65,110.552,1.28491,0.73027,1.10634,0.89589,0.94545,0.97504,0.5988,1.44488,0.68106,1.20459,0.000122304,0.000122304,0.000122304
66,112.413,1.26734,0.71555,1.07383,0.91627,0.93604,0.97504,0.59161,1.4743,0.68636,1.22537,0.000115027,0.000115027,0.000115027
67,113.65,1.29234,0.69509,1.08706,0.91428,0.93929,0.97504,0.59279,1.48475,0.67924,1.23085,0.000107751,0.000107751,0.000107751
68,114.919,1.23054,0.68077,1.07302,0.89632,0.953,0.97504,0.59592,1.48259,0.67697,1.22224,0.000100474,0.000100474,0.000100474
69,116.387,1.28545,0.71022,1.08075,0.89632,0.953,0.97504,0.59592,1.48259,0.67697,1.22224,9.3198e-05,9.3198e-05,9.3198e-05
70,118.049,1.23109,0.68495,1.07481,0.87219,0.97001,0.97504,0.60215,1.4751,0.67162,1.20991,8.59215e-05,8.59215e-05,8.59215e-05
71,120.776,1.29468,0.7633,1.13058,0.86665,0.96868,0.97504,0.60969,1.45435,0.67584,1.19506,7.8645e-05,7.8645e-05,7.8645e-05
72,122.092,1.26609,0.75401,1.11721,0.86604,0.96771,0.97504,0.60921,1.45919,0.67338,1.1914,7.13685e-05,7.13685e-05,7.13685e-05
73,123.315,1.26561,0.74791,1.12051,0.86604,0.96771,0.97504,0.60921,1.45919,0.67338,1.1914,6.4092e-05,6.4092e-05,6.4092e-05
74,124.553,1.26951,0.73731,1.1305,0.87307,0.96455,0.97504,0.61351,1.45342,0.68063,1.19087,5.68155e-05,5.68155e-05,5.68155e-05
75,125.818,1.20855,0.70636,1.10258,0.8833,0.96442,0.97504,0.62273,1.43973,0.68929,1.18856,4.9539e-05,4.9539e-05,4.9539e-05
76,127.09,1.24952,0.74885,1.10612,0.89247,0.95396,0.96816,0.61406,1.42837,0.68269,1.19202,4.22625e-05,4.22625e-05,4.22625e-05
77,128.384,1.20452,0.70425,1.07691,0.89247,0.95396,0.96816,0.61406,1.42837,0.68269,1.19202,3.4986e-05,3.4986e-05,3.4986e-05
78,130.041,1.19395,0.69225,1.1119,0.8955,0.95539,0.96816,0.60645,1.435,0.68218,1.19872,2.77095e-05,2.77095e-05,2.77095e-05
79,131.593,1.23249,0.69627,1.15708,0.89558,0.95207,0.96816,0.61079,1.43443,0.67709,1.20368,2.0433e-05,2.0433e-05,2.0433e-05
80,132.817,1.25365,0.74286,1.12573,0.90255,0.94507,0.96816,0.60944,1.4359,0.67059,1.20591,1.31565e-05,1.31565e-05,1.31565e-05
